Verb,Route,Method,Renderer,Location,Archive,Endpoint Suffix
PUT,/project/<pid>/dataverse/release/,views.crud.dataverse_release_study,json_renderer,dataverse,,
POST,/project/<pid>/dataverse/set/,views.config.set_dataverse_and_study,json_renderer,dataverse,,
GET,/project/<pid>/dataverse/widget/,dataverse_widget,OsfWebRenderer,dataverse,,
GET,/project/<pid>/dataverse/widget/contents/,dataverse_get_widget_contents,json_renderer,dataverse,,
GET,/project/<pid>/dropbox/config/,views.config.dropbox_config_get,json_renderer,dropbox,,
PUT,/project/<pid>/dropbox/config/,views.config.dropbox_config_put,json_renderer,dropbox,,
DELETE,/project/<pid>/dropbox/config/,views.config.dropbox_deauthorize,json_renderer,dropbox,,
PUT,/project/<pid>/dropbox/config/import-auth/,views.config.dropbox_import_user_auth,json_renderer,dropbox,,
GET,/project/<pid>/dropbox/config/share/,views.config.dropbox_get_share_emails,json_renderer,dropbox,,
POST,/project/<pid>/dropbox/files/,views.crud.dropbox_upload,json_renderer,dropbox,,
DELETE,/project/<pid>/dropbox/files/<path:path>,views.crud.dropbox_delete_file,json_renderer,dropbox,,
POST,/project/<pid>/dropbox/files/<path:path>,views.crud.dropbox_upload,json_renderer,dropbox,,
GET,/project/<pid>/dropbox/files/<path:path>/render/,views.crud.dropbox_render_file,json_renderer,dropbox,,
GET,/project/<pid>/dropbox/files/<path:path>/revisions/,views.crud.dropbox_get_revisions,json_renderer,dropbox,,
GET,/project/<pid>/dropbox/hgrid/,views.hgrid.dropbox_hgrid_data_contents,json_renderer,dropbox,,
GET,/project/<pid>/dropbox/hgrid/<path:path>,views.hgrid.dropbox_hgrid_data_contents,json_renderer,dropbox,,
GET,/project/<pid>/dropbox/oauth/,views.auth.dropbox_oauth_start,json_renderer,dropbox,,
POST,/project/<pid>/edit/,project_views.node.edit_node,json_renderer,website,,
POST,/project/<pid>/expand/,project_views.node.expand,json_renderer,website,,
GET,/project/<pid>/expanded/,project_views.node.is_expanded,json_renderer,website,,
POST,/project/<pid>/figshare/,views.crud.figshare_upload,json_renderer,figshare,,
POST,/project/<pid>/figshare/<aid>/,views.crud.figshare_upload,json_renderer,figshare,,
DELETE,/project/<pid>/figshare/article/<aid>/file/<fid>/,views.crud.figshare_delete_file,json_renderer,figshare,,
GET,/project/<pid>/figshare/config/,views.config.figshare_config_get,json_renderer,figshare,,
PUT,/project/<pid>/figshare/config/,views.config.figshare_config_put,json_renderer,figshare,,
DELETE,/project/<pid>/figshare/config/,views.config.figshare_deauthorize,json_renderer,figshare,,
PUT,/project/<pid>/figshare/config/import-auth/,views.config.figshare_import_user_auth,json_renderer,figshare,,
GET,/project/<pid>/figshare/download/article/<aid>/file/<fid>/,views.crud.figshare_download_file,json_renderer,figshare,,
GET,/project/<pid>/figshare/hgrid/,views.hgrid.figshare_hgrid_data_contents,json_renderer,figshare,,
GET,/project/<pid>/figshare/hgrid/<type>/<id>/,views.hgrid.figshare_hgrid_data_contents,json_renderer,figshare,,
GET,/project/<pid>/figshare/hgrid/options/,views.config.figshare_get_options,json_renderer,figshare,,
POST,/project/<pid>/figshare/new/fileset/,views.crud.figshare_create_fileset,json_renderer,figshare,,
POST,/project/<pid>/figshare/new/project/,views.crud.figshare_create_project,json_renderer,figshare,,
GET,/project/<pid>/figshare/oauth/,views.auth.figshare_oauth_start,json_renderer,figshare,,
DELETE,/project/<pid>/figshare/oauth/,views.auth.figshare_oauth_delete_node,json_renderer,figshare,,
DELETE,/project/<pid>/figshare/project/<project_id>/article/<aid>,views.crud.figshare_remove_article_from_project,json_renderer,figshare,,
GET,/project/<pid>/figshare/render/article/<aid>/file/<fid>/,views.crud.figshare_get_rendered_file,json_renderer,figshare,,
POST,/project/<pid>/figshare/user_auth/,views.auth.figshare_add_user_auth,json_renderer,figshare,,
GET,/project/<pid>/figshare/widget/,views.widget.figshare_widget,json_renderer,figshare,,
GET,/project/<pid>/file_paths/,views.list_file_paths,json_renderer,osffiles,,
GET,/project/<pid>/files/,project_views.file.collect_file_trees,json_renderer,website,,
GET,/project/<pid>/files/download/<fid>/,views.download_file,OsfWebRenderer,osffiles,,
GET,/project/<pid>/files/download/<fid>/version/<vid>/,views.download_file_by_version,json_renderer,osffiles,,
GET,/project/<pid>/files/grid/,project_views.file.grid_data,json_renderer,website,,
POST,/project/<pid>/fork/,project_views.node.node_fork_page,json_renderer,website,,
GET,/project/<pid>/fork/before/,project_views.node.project_before_fork,json_renderer,website,,
GET,/project/<pid>/forks/,project_views.node.node_forks,json_renderer,website,,
GET,/project/<pid>/forward/config/,views.config.forward_config_get,json_renderer,forward,,
PUT,/project/<pid>/forward/config/,views.config.forward_config_put,json_renderer,forward,,
GET,/project/<pid>/forward/widget/,views.widget.forward_widget,OsfWebRenderer,forward,,
GET,/project/<pid>/get_children/,project_views.node.get_children,json_renderer,website,,
GET,/project/<pid>/get_contributors/,project_views.contributor.get_contributors,json_renderer,website,,
GET,/project/<pid>/get_contributors_from_parent/,project_views.contributor.get_contributors_from_parent,json_renderer,website,,
GET,/project/<pid>/get_editable_children/,project_views.node.get_editable_children,json_renderer,website,,
GET,/project/<pid>/get_folder_pointers/,project_views.node.get_folder_pointers,json_renderer,website,,
GET,/project/<pid>/get_forks/,project_views.node.get_forks,json_renderer,website,,
GET,/project/<pid>/get_recently_added_contributors/,project_views.contributor.get_recently_added_contributors,json_renderer,website,,
GET,/project/<pid>/get_registrations/,project_views.node.get_registrations,json_renderer,website,,
GET,/project/<pid>/get_summary/,project_views.node.get_summary,json_renderer,website,,
DELETE,/project/<pid>/github/config/,views.auth.github_oauth_deauthorize_node,json_renderer,github,,
POST,/project/<pid>/github/file/,views.crud.github_upload_file,json_renderer,github,,
POST,/project/<pid>/github/file/<path:path>,views.crud.github_upload_file,json_renderer,github,,
DELETE,/project/<pid>/github/file/<path:path>,views.crud.github_delete_file,json_renderer,github,,
GET,/project/<pid>/github/file/<path:path>/render/,views.crud.github_get_rendered_file,json_renderer,github,,
GET,/project/<pid>/github/hgrid/,views.hgrid.github_hgrid_data_contents,json_renderer,github,,
GET,/project/<pid>/github/hgrid/<path:path>/,views.hgrid.github_hgrid_data_contents,json_renderer,github,,
GET,/project/<pid>/github/hgrid/root/,views.hgrid.github_root_folder_public,json_renderer,github,,
POST,/project/<pid>/github/hook/,views.hooks.github_hook_callback,json_renderer,github,,
GET,/project/<pid>/github/oauth/,views.auth.github_oauth_start,json_renderer,github,,
DELETE,/project/<pid>/github/oauth/,views.auth.github_oauth_deauthorize_node,json_renderer,github,,
POST,/project/<pid>/github/settings/,views.config.github_set_config,json_renderer,github,,
GET,/project/<pid>/github/tarball/,views.crud.github_download_starball,json_renderer,github,tar,__tar
POST,/project/<pid>/github/user_auth/,views.auth.github_add_user_auth,json_renderer,github,,
GET,/project/<pid>/github/zipball/,views.crud.github_download_starball,json_renderer,github,zip,__zip
POST,/project/<pid>/invite_contributor/,project_views.contributor.invite_contributor_post,json_renderer,website,,
GET,/project/<pid>/keys/,project_views.key.get_node_keys,json_renderer,website,,
GET,/project/<pid>/log/,project_views.log.get_logs,json_renderer,website,,
GET,/project/<pid>/node/<nid>/,project_views.node.view_project,json_renderer,website,,
DELETE,/project/<pid>/node/<nid>/,project_views.node.component_remove,json_renderer,website,,
POST,/project/<pid>/node/<nid>/<addon>/settings/disable/,addon_views.disable_addon,json_renderer,website,,
POST,/project/<pid>/node/<nid>/addtag/<tag>/,project_views.tag.project_addtag,json_renderer,website,,
GET,/project/<pid>/node/<nid>/beforeregister,project_views.register.project_before_register,json_renderer,website,,
POST,/project/<pid>/node/<nid>/beforeremovecontributors/,project_views.contributor.project_before_remove_contributor,json_renderer,website,,
GET,/project/<pid>/node/<nid>/bitbucket/,views.bitbucket_get_repo,json_renderer,bitbucket,,
GET,/project/<pid>/node/<nid>/bitbucket/file/<path:path>,views.bitbucket_download_file,json_renderer,bitbucket,,
GET,/project/<pid>/node/<nid>/bitbucket/oauth/,views.bitbucket_oauth_start,json_renderer,bitbucket,,
POST,/project/<pid>/node/<nid>/bitbucket/oauth/delete/,views.bitbucket_oauth_delete_node,json_renderer,bitbucket,,
POST,/project/<pid>/node/<nid>/bitbucket/settings/,views.bitbucket_set_config,json_renderer,bitbucket,,
GET,/project/<pid>/node/<nid>/bitbucket/tarball/,views.bitbucket_download_starball,json_renderer,bitbucket,tar,__tar
POST,/project/<pid>/node/<nid>/bitbucket/user_auth/,views.bitbucket_add_user_auth,json_renderer,bitbucket,,
GET,/project/<pid>/node/<nid>/bitbucket/zipball/,views.bitbucket_download_starball,json_renderer,bitbucket,zip,__zip
POST,/project/<pid>/node/<nid>/collapse/,project_views.node.collapse,json_renderer,website,,
POST,/project/<pid>/node/<nid>/comment/,project_views.comment.add_comment,json_renderer,website,,
PUT,/project/<pid>/node/<nid>/comment/<cid>/,project_views.comment.edit_comment,json_renderer,website,,
DELETE,/project/<pid>/node/<nid>/comment/<cid>/,project_views.comment.delete_comment,json_renderer,website,,
POST,/project/<pid>/node/<nid>/comment/<cid>/report/,project_views.comment.report_abuse,json_renderer,website,,
